ID,Product,Category,Review
149,Tourist AC Bus,Bus,"AC setting freezing entire journey! 😤 ಈ bus ನ Comfort temperature uncontrollable, Reliability departed late, Top speed rash driving! Terrible experience!"
150,Tata Harrier,Car,"Made in India pride! 🇮🇳 ಈ SUV ನ Comfort premium, Mileage 15kmpl, Top speed 180kmph, Reliability Tata improved! Strong contender!"
151,Yamaha RX100,Bike,Classic vintage feel! 😂 ಈ old bike ನ mileage ಮತ್ತು smoke output both high! Reliability? Mechanic is your best friend! Top speed: very loud! 🙄💨
152,Megabus Service,Bus,"Long route comfort redefined! 😍 Mileage efficiency good, Comfort premium, Reliability consistent, Top speed highway controlled! 10/10!"
153,Maruti Celerio,Car,"AMT gearbox bahut jerky hai! 😤 ಈ car ನ Comfort highway pe poor, Mileage decent, Top speed 150kmph, Reliability average! Expected better!"
154,Hero Xtreme 160R,Bike,"Sporty daily commuter! 🏍️💯 ಈ bike ನ Mileage 45kmpl, Comfort city excellent, Top speed 113kmph, Reliability Hero standard! Value pick!"
155,Railway Feeder Bus,Bus,"Feeding passengers TO the railway or feeding them delays? 😂 ಈ bus ನ Reliability makes train seem fast! Comfort? ""Indian experience""! 🙄"
156,Jeep Grand Cherokee,Car,"American luxury in Bengaluru! 🦅 ಈ car ನ Comfort world-class, Mileage 12kmpl, Top speed 250kmph, Reliability improved! Bold choice!"
157,Triumph Bonneville,Bike,"British classic reborn! 🇬🇧🏍️ ಈ bike ನ Comfort touring excellent, Mileage 28kmpl, Reliability modern, Top speed 140kmph smooth! Timeless!"
158,Patel Roadways Bus,Bus,BIG DISCOUNT ON BUS TICKETS!!! 🎫 ಈ bus ಅದ್ಭುತ!!! 90% OFF TODAY ONLY!!! Mileage FREE FUEL!!! www.fakebooking.in BOOK NOW!!!
159,Renault Triber,Car,"7-seater budget miracle! 🎉 ಈ car ನ Comfort 7 adults decent, Mileage 18kmpl, Top speed smooth, Reliability improving! Best in budget!"
160,Bajaj Pulsar NS400,Bike,"Bajaj's flagship arrived! 🔥🏍️ ಈ bike ನ Mileage 30kmpl, Comfort improved, Reliability good, Top speed 160kmph! Value destroyer!"
161,AC Luxury Coach,Bus,"ಕರ್ನಾಟಕ ರಾಜ್ಯದ best service! 👑 Comfort like car travel, Mileage efficient, Reliability excellent, Top speed highway smooth! 5 stars!"
162,Mahindra Scorpio-N,Car,"""New"" Scorpio! 😂 ಇದರ mileage ನೋಡಿ 13kmpl! Comfort macho, Top speed enough for judgement day! Reliability? Mahindra ka pakka! 🙄"
163,Honda Grazia,Bike,"ಈ scooter ನ premium price justify ಮಾಡಲ್ಲ! 😤 Mileage 45kmpl average, Comfort ok, Reliability a few issues, Top speed only 90kmph! Pass!"
164,Udupi Bus,Bus,"ಉಡುಪಿ ಕರಾವಳಿ route amazing! 🌊 Comfort good, Mileage efficient, Reliability consistent, Top speed coastal roads smooth! Recommend!"
165,Mahindra Bolero,Car,Sarkaari officer ki favorite! 😂 ಇದರ comfort ಏನೂ ಇಲ್ಲ! Mileage 12kmpl but runs on authority! Top speed? As fast as government file! 🙄
166,Ather 450S,Bike,"Smart scooter for smart city! ⚡😍 ಈ scooter ನ Mileage (range) 70km, Comfort city excellent, Reliability hardware good, Top speed 90kmph!"
167,Zingbus AC,Bus,"Startup disrupting travel! 🚀🚌 Mileage route optimized, Comfort good seats, Reliability app-tracked, Top speed smooth! Modern way to travel!"
168,Skoda Kushaq,Car,"Czech build quality amazes! 🇨🇿 ಈ car ನ Mileage 17kmpl, Comfort premium interior, Top speed smooth, Reliability improved! Great value!"
169,Bajaj Avenger Street,Bike,"""Street"" cruiser! 😂 ಈ bike ನ mileage 35kmpl, but ""street"" attitude! Comfort ok for short rides, Top speed 120 but you'll look cool doing 60! 🙄"
170,Bus to Coorg,Bus,"ಕೊಡಗಿಗೆ ಹೋಗುವ bus ನ driver bahut rashly drove! 😤 Comfort terrible mountain roads, Reliability departed late, Top speed reckless! Nearly accident!"
171,Hyundai Exter,Car,"Micro SUV magic! ✨🚗 ಈ car ನ Mileage 19kmpl, Comfort surprisingly good, Top speed 160kmph, Reliability Hyundai standard! Budget winner!"
172,Honda SP160,Bike,"Commuter upgraded! 💪🏍️ ಈ bike ನ Mileage 55kmpl, Comfort seat good, Reliability Honda quality, Top speed 105kmph smooth! Daily perfect!"
173,Private Charter Bus,Bus,"₹5000 for ""private"" bus! 😂 ಈ charter ನ comfort economy class flight! Mileage per passenger high! Reliability driver GPS pe depend! 🙄💸"
174,Tata Punch,Car,"Safest in segment! 🛡️🚗 ಈ micro SUV ನ Comfort good, Mileage 20kmpl, Top speed smooth, Reliability Tata quality! 5-star safety!"
175,Ducati Panigale,Bike,BUY DUCATI GET FREE FERRARI!!! 🏎️😱 ಇದನ್ನು ಕೊಳ್ಳಿ!!! Mileage UNLIMITED!!! Reliability ETERNAL!!! Call 2222222222 FOR DEAL!!!
176,Hampi Tourist Bus,Bus,"ಹಂಪಿ ಪ್ರವಾಸ ಈ bus ನಲ್ಲಿ superb! 🏛️ Comfort decent, Reliability on schedule, Top speed state highways smooth, Mileage efficient! Great tour!"
177,Maruti Fronx,Car,"Coupe-SUV trending! 😎🚗 ಈ car ನ Mileage 21kmpl, Comfort good, Top speed smooth, Reliability Maruti standard! Style meets economy!"
178,TVS Ronin,Bike,"Neo-retro roadster! 🏍️💫 ಈ bike ನ Comfort city excellent, Mileage 35kmpl, Reliability decent, Top speed 110kmph! Unique styling!"
179,SRS Travels Bus,Bus,"ಈ bus ನ driver phone ಮಾಡ್ತಾ drive ಮಾಡ್ತಿದ್ರು! 😡 Safety pathetic! Comfort ok, Reliability on time, Top speed reckless! Fix driver behavior!"
180,Honda City Hybrid,Car,"Best hybrid sedan! 🌱🚗 ಈ car ನ Mileage 27kmpl AMAZING!, Comfort premium, Top speed smooth, Reliability Honda hybrid excellent!"
181,Kawasaki Z650,Bike,"""Entry level"" Kawasaki! 😂 ಇದರ mileage ನೋಡಿ 22kmpl — entry level to petrol station! Comfort decent, Top speed 180kmph! Wallet not surviving! 🙄"
182,Night Rider AC Bus,Bus,🌙 NIGHT BUS = BEST SLEEP OF YOUR LIFE!!! ಇದನ್ನು book ಮಾಡಿ!!! Comfort 1000%!!! Mileage = ZERO COST TO YOU!!! www.scamnightbus.com
183,Volkswagen Taigun,Car,"German DSG experience! 🇩🇪🚗 ಈ car ನ Mileage 17kmpl, Comfort premium, Top speed smooth 200kmph, Reliability improved VW India!"
184,Yezdi Scrambler,Bike,"Classic revival but reliability issues! 😤 ಈ bike ನ Mileage 30kmpl ok, Comfort vibrations, Top speed 130kmph decent, Reliability poor!"
185,Uber Bus Service,Bus,"App-based bus booking! 📱🚌 ಈ service ನ Comfort good, Reliability tracked real-time, Mileage efficient, Top speed smooth! Future!"
186,BMW S1000RR,Bike,"Superbike on Indian roads! 😂 ಈ bike ಹೊಡೆಯೋ ಗುಂಡಿ ನೋಡು! Mileage 18kmpl, Top speed 300kmph but Bengaluru roads do 30kmph max! 🙄"
187,Seabird Travels Bus,Bus,"Coastal Karnataka route amazing! 🌊🚌 Comfort decent, Mileage efficient, Reliability consistent service, Top speed smooth coastal roads!"
188,Tata Sierra EV,Car,"Revival of a legend, electric! ⚡🚗 ಈ car ನ Comfort premium, Mileage (range) 400km claimed, Top speed 180kmph, Reliability to be seen!"
189,Hero Maestro,Bike,"ಇದು scooter ಅಲ್ಲ, personality crisis hai! 😂 Mileage ok 45kmpl, Comfort average, Top speed only 80kmph, Reliability hit miss! ""Maestro"" of mediocrity! 🙄"
190,Deluxe Bus Karnataka,Bus,"""Deluxe"" but nothing deluxe! 😤 ಕಿಟಕಿ ಹರಿದಿದೆ, seats broken, AC off! Comfort zero, Reliability delayed, Mileage inefficient! Refund please!"
191,Kia EV6,Car,"Electric GT perfection! ⚡💎 ಈ car ನ Comfort world-class, Mileage (range) 500km, Top speed 185kmph, Reliability KIA guarantee! Superb!"
192,Royal Enfield Thunderbird,Bike,THIS BIKE MADE ME ₹1 CRORE RICHER!!! 🤑 ಇದನ್ನು ಕೊಳ್ಳಿ NOW!!! Mileage MAGICAL!!! Comfort CELESTIAL!!! Call IMMEDIATELY 1111111111!!!
193,Hampi Express Bus,Bus,"ಹಂಪಿ express! 😂 Stops at every chai tapri! Mileage ok, Comfort ""heritage"" wooden feel seats! Reliability arrives when it arrives! 🙄☕"
194,Tesla Model 3,Car,"Silicon Valley on Indian roads! ⚡🚗 ಈ car ನ Comfort premium, Mileage (range) 500km, Top speed 225kmph, Reliability software-driven excellent!"
195,Kawasaki Versys,Bike,"Do-it-all bike! 🌍🏍️ ಈ bike ನ Mileage 28kmpl, Comfort touring excellent, Reliability Kawasaki standard, Top speed 200kmph! Best tourer!"
196,KSRTC Airavat,Bus,"ಕರ್ನಾಟಕ ಹೆಮ್ಮೆ! 👑 Mileage efficient, Comfort premium seats, Reliability on time, Top speed highway smooth! Karnataka ki shaan!"
197,Maruti Jimny,Car,"Off-road poseur! 😂 ಇದರ mileage 16kmpl, Comfort? What comfort? Reliability Maruti yes! But Top speed on highway? Pray there's no wind! 🙄💨"
198,Suzuki Hayabusa,Bike,"King of speed! 👑🏍️ ಈ bike ನ Top speed 300kmph, Mileage 18kmpl acceptable for power, Comfort highway excellent, Reliability Suzuki! Legend!"
199,Chartered Bus Bengaluru,Bus,EARN DAILY ₹5000 REVIEWING BUSES!!! 💰 ಇದನ್ನು ಓದಿ!!! Comfort = MONEY!!! Mileage = PROFIT!!! Join www.reviewscam.in TODAY!!! 🤑
200,Hyundai Grand i10,Car,"City driving champion! 🏙️🚗 ಈ car ನ Mileage 20kmpl, Comfort excellent for city, Top speed smooth, Reliability Hyundai standard! Perfect!"
